amount,asset_description,asset_type,comment,disclosure_date,owner,ptr_link,senator,ticker,transaction_date,type
"$15,001 - $50,000",PHLD - Phillips Edison Grocery Center REIT I,Stock,--,03/04/2022,Self,https://efdsearch.senate.gov/search/view/ptr/3224ecf0-f45b-4f71-b092-a7cce9350ef8/,Patrick J Toomey,--,02/18/2022,Sale (Full)
"$15,001 - $50,000",PHLD - Phillips Edison Grocery Center REIT I,Stock,--,03/04/2022,Self,https://efdsearch.senate.gov/search/view/ptr/3224ecf0-f45b-4f71-b092-a7cce9350ef8/,Patrick J Toomey,--,01/20/2022,Sale (Partial)
"$15,001 - $50,000","HSBC Autocall on Broadcom <div class=""text-muted""><em>Rate/Coupon:</em> 9.2%<br> <em>Matures:</em> 11/22/2024</div>",Corporate Bond,--,03/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/4c748cab-1ab3-4cc5-8c1d-5a51053c0695/,Thomas R Carper,--,02/25/2022,Sale (Full)
"$100,001 - $250,000","Construction Partners, Inc. - Common Stock",Stock,"Shares received from SunTx Fulcrum Fund, L.P.  - Construction Partners, Inc. (dba SunTx CPI Growth Company, Inc.)",02/18/2022,Self,https://efdsearch.senate.gov/search/view/ptr/eabaeaaf-6bf6-45bd-9be6-4929fba3647c/,Mark R Warner,ROAD,01/31/2022,Sale (Full)
"$15,001 - $50,000",Unilever PLC Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,UL,01/21/2022,Sale (Full)
"$15,001 - $50,000",WEX Inc. common stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,WEX,01/06/2022,Sale (Full)
"$1,001 - $15,000",V.F. Corporation Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,VFC,01/06/2022,Sale (Full)
"$1,001 - $15,000",Otis Worldwide Corporation Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,OTIS,01/06/2022,Sale (Full)
"$15,001 - $50,000","Henry Schein, Inc. - Common Stock",Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,HSIC,01/06/2022,Sale (Full)
"$1,001 - $15,000",Carrier Global Corporation Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,CARR,01/06/2022,Sale (Full)
"$15,001 - $50,000",3M Company Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,MMM,01/06/2022,Sale (Full)
"$15,001 - $50,000",The Hershey Company Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,HSY,01/21/2022,Purchase
"$15,001 - $50,000",NVIDIA Corporation - Common Stock,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,NVDA,01/06/2022,Purchase
"$15,001 - $50,000",Linde plc Ordinary Share,Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,LIN,01/06/2022,Purchase
"$15,001 - $50,000","Amazon.com, Inc. - Common Stock",Stock,--,02/17/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/ae6a1390-3883-4d8f-ae47-e8d20f20e043/,Susan M Collins,AMZN,01/06/2022,Purchase
"$1,001 - $15,000","Intel Corporation - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $52.50 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,INTC,01/05/2022,Sale (Full)
"$50,001 - $100,000",Barrick Gold Corporation Common Stock (BC),Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,GOLD,01/24/2022,Purchase
"$15,001 - $50,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $245.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,"This transaction is called buying to cover, which is a way to close out a short sale. Per this transaction, the Senator is divested of BABA securities",02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,BABA,01/14/2022,Purchase
"$15,001 - $50,000","QUALCOMM Incorporated - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $170.00 <br> <em>Expires:</em> 07/15/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,QCOM,01/14/2022,Sale (Full)
"$15,001 - $50,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,"This transaction is called buying to cover, which is a way to close out a short sale. Per this transaction, the Senator is divested of BABA securities",02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,BABA,01/14/2022,Purchase
